station;long;lat;date;weekday;time;visibility;relative_humidity;precipitation;wind_speed;air_temp
83967;-51.17472221;-30.05361111;11/02/2017;5;18:00;1.0;0.82;0.1;1.3;25.9
83967;-51.17472221;-30.05361111;12/02/2017;6;00:00;1.0;0.87;0.0;1.1;24.3
83967;-51.17472221;-30.05361111;12/02/2017;6;12:00;0.8333333333333334;0.95;2.5;2.3;23.0
83967;-51.17472221;-30.05361111;12/02/2017;6;18:00;1.0;0.65;0.0;1.6;30.8
83967;-51.17472221;-30.05361111;13/02/2017;0;00:00;1.0;0.82;0.0;1.3;27.6
83967;-51.17472221;-30.05361111;13/02/2017;0;12:00;1.0;0.91;2.5;1.5;25.2
83967;-51.17472221;-30.05361111;13/02/2017;0;18:00;1.0;0.82;1.8;5.3;28.0
83967;-51.17472221;-30.05361111;14/02/2017;1;00:00;1.0;0.95;5.0;2.1;23.2
83967;-51.17472221;-30.05361111;14/02/2017;1;12:00;1.0;0.8;0.3;2.1;26.8
83967;-51.17472221;-30.05361111;14/02/2017;1;18:00;1.0;0.73;0.0;2.1;28.0
83967;-51.17472221;-30.05361111;15/02/2017;2;00:00;1.0;0.9;3.6;0.3;23.5
83967;-51.17472221;-30.05361111;15/02/2017;2;12:00;0.8333333333333334;0.77;3.0;1.3;28.0
83967;-51.17472221;-30.05361111;15/02/2017;2;18:00;1.0;0.75;5.5;1.0;28.4
83967;-51.17472221;-30.05361111;16/02/2017;3;00:00;1.0;0.92;1.4;1.3;25.6
83967;-51.17472221;-30.05361111;16/02/2017;3;12:00;1.0;0.76;0.0;1.3;28.7
83967;-51.17472221;-30.05361111;16/02/2017;3;18:00;1.0;0.54;0.0;2.5;34.4
83967;-51.17472221;-30.05361111;17/02/2017;4;00:00;1.0;0.94;8.0;2.5;22.4
83967;-51.17472221;-30.05361111;17/02/2017;4;12:00;1.0;0.79;0.3;1.6;26.0
83967;-51.17472221;-30.05361111;17/02/2017;4;18:00;1.0;0.64;0.0;2.0;30.6
83967;-51.17472221;-30.05361111;18/02/2017;5;00:00;1.0;0.83;0.0;0.1;27.0
83967;-51.17472221;-30.05361111;18/02/2017;5;12:00;1.0;0.67;0.0;1.3;29.4
83967;-51.17472221;-30.05361111;18/02/2017;5;18:00;1.0;0.49;0.0;2.1;35.8
83967;-51.17472221;-30.05361111;19/02/2017;6;00:00;1.0;0.75;0.5;2.6;26.8
83967;-51.17472221;-30.05361111;19/02/2017;6;12:00;1.0;0.73;0.0;1.3;29.0
83967;-51.17472221;-30.05361111;19/02/2017;6;18:00;1.0;0.62;0.0;2.3;34.2
83967;-51.17472221;-30.05361111;20/02/2017;0;00:00;1.0;0.96;3.8;0.7;24.3
83967;-51.17472221;-30.05361111;20/02/2017;0;12:00;0.8333333333333334;0.88;0.1;1.3;26.2
83967;-51.17472221;-30.05361111;20/02/2017;0;18:00;1.0;0.52;0.0;1.5;34.6
83967;-51.17472221;-30.05361111;21/02/2017;1;00:00;1.0;0.77;0.0;1.5;28.8
83967;-51.17472221;-30.05361111;21/02/2017;1;12:00;1.0;0.81;0.0;1.8;28.0
83967;-51.17472221;-30.05361111;21/02/2017;1;18:00;1.0;0.61;0.0;1.3;33.0
83967;-51.17472221;-30.05361111;22/02/2017;2;00:00;1.0;0.95;1.2;1.1;25.2
83967;-51.17472221;-30.05361111;22/02/2017;2;12:00;1.0;0.73;0.0;2.3;27.6
83967;-51.17472221;-30.05361111;22/02/2017;2;18:00;0.8333333333333334;0.74;0.0;1.3;29.4
83967;-51.17472221;-30.05361111;23/02/2017;3;00:00;1.0;0.8;0.0;2.0;28.2
